id;school_id;photo_url1;photo_url2;photo_url3
201;201;/images/jakarta/jakarta_timur/SD_Tata_5_2YuY5.jpg;/images/jakarta/jakarta_timur/SD_Tata_5_7GTop.jpg;/images/jakarta/jakarta_timur/SD_Tata_5_BlTh1.jpg
202;202;/images/jakarta/jakarta_timur/SD_EMSc_Jata_Htyu7.jpg;/images/jakarta/jakarta_timur/SD_EMSc_Jata_oP4lA.jpg;/images/jakarta/jakarta_timur/SD_EMSc_Jata_tT1Q1.jpg
203;203;/images/jakarta/jakarta_timur/SD_Isam_Al_Azar_13_Raun_1TYR8.jpg;/images/jakarta/jakarta_timur/SD_Isam_Al_Azar_13_Raun_3o0tg.jpg;/images/jakarta/jakarta_timur/SD_Isam_Al_Azar_13_Raun_Rmb8l.jpg
204;204;/images/jakarta/jakarta_timur/SDIT_Ar_Raah_Jata_aIWkE.jpg;/images/jakarta/jakarta_timur/SDIT_Ar_Raah_Jata_ebT5p.jpg;/images/jakarta/jakarta_timur/SDIT_Ar_Raah_Jata_OgCgw.jpg
205;205;/images/jakarta/jakarta_timur/SD_Bona_Tita_Isic_Scol_1DCiX.jpg;/images/jakarta/jakarta_timur/SD_Bona_Tita_Isic_Scol_fOlfX.jpg;/images/jakarta/jakarta_timur/SD_Bona_Tita_Isic_Scol_sVAoy.jpg
206;206;/images/jakarta/jakarta_timur/SD_Glal_Isic_Scol_5Upot.jpg;/images/jakarta/jakarta_timur/SD_Glal_Isic_Scol_8YQcV.jpg;/images/jakarta/jakarta_timur/SD_Glal_Isic_Scol_DL1Ao.jpg
207;207;/images/jakarta/jakarta_timur/SD_Isam_Al_Azar_20_Ciur_CEn1d.jpg;/images/jakarta/jakarta_timur/SD_Isam_Al_Azar_20_Ciur_h9s9s.jpg;/images/jakarta/jakarta_timur/SD_Isam_Al_Azar_20_Ciur_MIPVa.jpg
208;208;/images/jakarta/jakarta_timur/SD_Emun_Pagi_AEKKH.jpg;/images/jakarta/jakarta_timur/SD_Emun_Pagi_h0JAj.jpg;/images/jakarta/jakarta_timur/SD_Emun_Pagi_K9Ckn.jpg
209;209;/images/jakarta/jakarta_timur/SDS_Al_Quah_Al_Muah_4Lxpj.jpg;/images/jakarta/jakarta_timur/SDS_Al_Quah_Al_Muah_iqoht.jpg;/images/jakarta/jakarta_timur/SDS_Al_Quah_Al_Muah_qlemj.jpg
210;210;/images/jakarta/jakarta_timur/SD_KRNA_95WvV.jpg;/images/jakarta/jakarta_timur/SD_KRNA_BfsY0.jpg;/images/jakarta/jakarta_timur/SD_KRNA_C3ccq.jpg
211;211;/images/jakarta/jakarta_timur/SDS_Nuul_Ihan_CLilF.jpg;/images/jakarta/jakarta_timur/SDS_Nuul_Ihan_iqtxD.jpg;/images/jakarta/jakarta_timur/SDS_Nuul_Ihan_VIsc8.jpg
212;212;/images/jakarta/jakarta_timur/SDK_Tana_Haan_Basa_k6AxE.jpg;/images/jakarta/jakarta_timur/SDK_Tana_Haan_Basa_i5QKV.jpg;/images/jakarta/jakarta_timur/SDK_Tana_Haan_Basa_sD6c5.jpg
213;213;/images/jakarta/jakarta_timur/SDI_Al_Haah_16mZk.jpg;/images/jakarta/jakarta_timur/SDI_Al_Haah_jLXY6.jpg;/images/jakarta/jakarta_timur/SDI_Al_Haah_wGguq.jpg
